Time,1 AVENUE,10 AVENUE,103 STREET,108 STREET,12 AVENUE,120 AVENUE,126 STREET,13 AVENUE,14 AVENUE,164 STREET,18 AVENUE,188 STREET,2 AVENUE,21 STREET,23 AVENUE,3 AVENUE,31 STREET,34 AVENUE,37 AVENUE,39 AVENUE,39 STREET,4 AVENUE,5 AVENUE,51 AVENUE,58 STREET,6 AVENUE,60 STREET,65 STREET,69 STREET,7 AVENUE,8 AVENUE,80 STREET,82 STREET,9 STREET,94 AVENUE,ADAMN C POWELL BOULEVARD,ALBANY AVENUE,AMSTERDAM AVENUE,ARTHUR KILL ROAD,ASTOR AVENUE,ASTORIA BOULEVARD,AVENUE C,AVENUE D,AVENUE J,AVENUE M,AVENUE N,AVENUE P,AVENUE U,BAY RIDGE AVENUE,BAY RIDGE PARKWAY,BAYCHESTER AVENUE,BEDFORD AVENUE,BELL BOULEVARD,BELMONT AVENUE,BELT PARKWAY,BENSON AVENUE,BOSTON ROAD,BROADWAY,BRONXWOOD AVENUE,BROOK AVENUE,BROOKLYN AVENUE,BROOKLYN QUEENS EXPRESSWAY MAIN ROAD,BROOKLYN QUEENS EXPRESSWAY SERVICE ROAD,BURKE AVENUE,BUSHWICK AVENUE,CALHOUN AVENUE,CATON AVENUE,CENTRE STREET,CHAMBERS STREET,CHERRY STREET,CHRYSTIE STREET,CHURCH AVENUE,CHURCH STREET,CLARENDON ROAD,CLASSON AVENUE,COLUMBIA STREET,COLUMBUS AVENUE,COLUMBUS CIRCLE EB,COLUMBUS CIRCLE NB,COMMERCIAL STREET,CONEY ISLAND AVENUE,CORTELYOU ROAD,COURTLANDT AVENUE,CRESCENT STREET,CROSS BAY BOULEVARD,CROSS BRONX EXPRESSWAY,CROSS ISLAND PARKWAY,CYPRESS AVENUE,DITMAS AVENUE,DRIGGS AVENUE,DYCKMAN STREET,DYRE AVENUE,EAST 135 STREET,EAST 138 STREET,EAST 14 STREET,EAST 144 STREET,EAST 149 STREET,EAST 161 STREET,EAST 163 STREET,EAST 169 STREET,EAST 177 STREET,EAST 18 STREET,EAST 23 STREET,EAST 233 STREET,EAST 4 STREET,EAST BURNSIDE AVENUE MAIN ROAD,EAST BURNSIDE AVENUE SERVICE ROAD,EASTCHESTER ROAD,EASTERN PARKWAY,EMMONS AVENUE,FLATBUSH AVENUE,FLATLANDS AVENUE,FOUNTAIN AVENUE,FRANCIS LEWIS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,FT HAMILTON PARKWAY,FULTON STREET,GATES AVENUE,GERARD AVENUE,GLEN STREET,GRAND CONCOURSE,GRAND STREET,GREENWICH STREET,HICKS STREET,HOLLIS COURT BOULEVARD,HOMELAWN STREET,HONEYWELL STREET,HOWARD AVENUE,HYLAN BOULEVARD,JAMAICA AVENUE,JEROME AVENUE,JJ BYRNE MEMORIAL BRIDGE,JUNCTION BOULEVARD,KINGS HIGHWAY,LACONIA AVENUE,LAFAYETTE AVENUE,LAFAYETTE STREET,LEWIS AVENUE,LEXINGTON AVENUE,LIBERTY AVENUE,LINDEN BOULEVARD,MADISON AVENUE,MADISON STREET,MAIN STREET,MANHATTAN AVENUE,MARATHON PARKWAY,MARMION AVENUE,MAURICE AVENUE,MC DONALD AVENUE,MELROSE AVENUE,MERRICK BOULEVARD,MESEROLE STREET,METROPOLITAN AVENUE,MIDLAND PARKWAY,MORRIS AVENUE,MYRTLE AVENUE,NEPTUNE AVENUE,NEW UTRECHT AVENUE,NORTH CONDUIT AVENUE,NORTHERN BOULEVARD,NOSTRAND AVENUE,OCEAN AVENUE,OCEAN PARKWAY MAIN ROAD,OCEAN PARKWAY SERVICE ROAD,PARK AVENUE,PARK AVENUE SOUTH,PELHAM BRIDGE,PENNSYLVANIA AVENUE,PITT STREET,PROSPECT AVENUE,PROVOST AVENUE,PUTNAM AVENUE,RALPH AVENUE,RANDALL AVENUE,REMSEN AVENUE,RICHMOND AVENUE,RICHMOND ROAD,RIVER AVENUE,RIVERDALE AVENUE,ROCKAWAY AVENUE,ROCKAWAY BOULEVARD,ROCKAWAY PARKWAY,ROGERS AVENUE,ROOSEVELT AVENUE,ROSEDALE AVENUE,SANFORD AVENUE,SEAGIRT BOULEVARD,SEDGWICK AVENUE,SHERIDAN EXPRESSWAY,SOUTH AVENUE,SOUTH CONDUIT AVENUE,SPRING STREET,ST MARYS STREET,STATE STREET,STEINWAY STREET,STILLWELLAVENUE,TINTON AVENUE,TODT HILL ROAD,TOMPKINS AVENUE,TRAVIS AVENUE,UNDERHILL AVENUE,UNION STREET,UTICA AVENUE,VAN DUZER STREET,VAN WYCK EXPRESSWAY,VARICK STREET,VERNON BOULEVARD,WADSWORTH AVENUE,WEBSTER AVENUE,WEST 125 STREET,WEST 135 STREET,WEST 30 STREET,WEST 34 STREET,WEST 39 STREET,WEST 48 STREET,WEST 49 STREET,WEST 53 STREET,WEST 55 STREET,WEST 56 STREET,WEST 57 STREET,WEST BROADWAY,WEST END AVENUE,WEST GUN HILL ROAD,WHITE PLAINS ROAD,WINCHESTER BOULEVARD,WOODHAVEN BOULEVARD,WOODROW ROAD,WOODSIDE AVENUE,YELLOWSTONE BOULEVARD,YORK AVENUE
0,20752,13363,671,2205,27908,1548,1184,988,967,1751,1378,2004,9212,3778,4227,22644,3375,2700,3290,1088,4281,5591,20882,681,438,37827,3618,1577,2191,34141,19743,2326,1241,2048,2904,8608,5238,24764,1627,768,4953,3784,1693,930,1888,1797,3606,2863,831,2403,445,16289,508,716,43869,183,2706,43924,322,1002,1928,22845,2557,947,9420,694,6003,2546,6385,214,8664,8291,11839,2970,1305,1424,9972,3523,4633,313,7318,1793,533,2579,4964,97749,30575,2386,1215,2512,5206,1525,1333,2906,8273,1596,3299,338,3497,2012,5252,3818,7230,7861,2138,1973,1701,3687,3670,3119,26518,8818,1309,3721,8780,2934,5903,1584,844,654,6518,7659,1292,908,1018,3177,1815,986,2707,8102,2460,7519,2248,3400,278,2876,7203,1908,12000,4873,6025,23162,2400,8218,1129,756,335,1521,2657,1767,4206,734,7917,1817,1778,5596,2094,3491,10416,15668,17055,7464,14971,971,1659,11384,2850,7537,885,2853,1272,541,2732,1487,3339,5098,1870,88,1417,2924,2189,4470,7396,1021,1888,1207,2913,2463,11419,1204,13485,3974,64,4239,4276,1205,404,2415,1643,1449,177,4459,2528,1075,53514,11757,3558,1389,6280,6007,1583,2463,7831,4362,4264,3167,2950,3096,2202,5290,10025,4887,2699,3803,707,9967,369,1246,1269,9457
1,16611,9979,527,1582,20101,1011,627,692,600,1133,936,1268,7353,3093,1700,17668,2890,2126,1171,818,3309,4099,14659,427,268,32075,2186,1101,1535,29627,15081,1399,938,1327,2078,6455,3427,19057,1110,537,3273,3252,1110,568,1196,1103,2254,1682,531,1635,221,12912,330,474,28171,135,1392,35565,195,800,1143,14867,1948,615,6666,508,4388,2096,4735,150,7079,6175,9650,1983,919,929,7754,2449,3279,224,5480,1292,408,1935,2963,84408,20479,1871,826,1980,4622,1079,1011,2342,7476,943,2471,278,2740,1521,3727,2690,5926,5077,1917,1501,1308,2425,2312,2146,20211,5809,832,2383,6694,1660,4851,1166,449,327,4216,5609,794,567,586,2031,1343,640,1434,6193,1845,5463,1288,2446,163,2181,5958,1365,9021,3618,4035,15752,1740,5488,862,532,251,1347,2038,1390,2888,581,5965,1208,1249,4133,1541,2349,7298,11486,12721,5267,10532,666,1225,8559,1358,5335,699,2241,1079,338,1770,1060,2133,3031,1053,62,951,2160,1581,3248,5673,634,1316,712,1833,1780,8606,680,9174,3004,32,3221,3691,921,408,1366,1116,839,87,2816,1735,632,38305,9691,2452,1071,4319,4479,1162,1886,5958,2611,2781,2253,2063,2106,1411,3950,7270,3066,1919,3095,385,6609,217,847,864,5348
2,12845,8117,457,1225,13978,719,561,418,383,812,669,791,5908,2186,1365,14028,2471,1707,910,490,2495,3123,11034,288,215,26055,1169,939,1139,24351,11952,784,702,842,1651,4867,2420,15001,672,363,2564,2473,878,383,837,686,1542,732,327,1152,129,10123,214,333,17636,108,1067,27221,161,658,862,10690,1303,476,4668,333,3321,1553,2836,107,5459,4615,7869,1309,762,494,5837,1531,1954,178,4298,956,350,1597,2027,72922,11473,1549,599,1655,3641,742,876,1946,6738,811,2091,239,2034,1247,2609,1843,4658,3570,1485,1076,1026,1453,1571,1380,14673,4519,614,1699,5142,1193,3507,879,300,220,3146,4312,512,361,387,1478,1030,452,891,4685,1349,4107,864,1825,105,1345,4559,947,6690,2911,3171,10043,1317,3842,627,343,218,1123,1489,1217,2101,451,5056,884,922,2959,1112,1719,4831,8799,9921,3781,7459,418,900,6153,720,3956,535,1957,887,259,1327,695,1446,1913,638,41,552,1599,1129,2108,4456,606,959,574,1122,1226,7140,436,6866,2747,21,2248,3184,603,285,862,840,516,59,2177,1128,489,25457,7787,1728,866,3324,3514,962,1284,4656,1844,1959,1442,1368,1630,922,3296,4990,2144,1325,2417,299,4760,144,658,482,3596
3,10038,6742,369,1119,11015,534,485,359,339,653,652,572,5059,1911,1928,11780,2189,1448,1396,392,2306,2746,7822,234,214,22168,1038,859,839,20181,9943,863,602,669,1351,3907,1908,12787,614,260,2172,1882,743,298,663,493,1144,604,241,926,104,7829,138,329,14042,61,994,20677,85,627,623,9982,1169,318,4357,302,2983,1271,2897,124,4788,3912,6524,1220,597,637,4644,1553,2072,129,3428,742,253,1348,1673,72707,7914,1297,445,1139,3208,603,925,1719,5777,749,1862,180,1804,1129,2344,1295,3818,3228,939,814,922,1089,1336,933,12381,3914,534,1333,4173,856,2485,710,284,197,2737,3476,474,364,291,1095,999,414,703,4334,1193,4140,723,1401,87,924,3700,734,5967,2910,2648,8481,1011,3413,484,229,155,1378,1322,1100,1631,334,4088,684,884,2534,987,1334,4481,7317,8417,3125,6444,330,684,4473,469,3572,396,1732,748,232,1159,504,1194,1587,554,27,450,1311,931,1735,3667,443,867,467,1096,1005,6945,387,6822,2127,20,1873,2851,609,253,634,673,383,41,1584,945,366,23147,6737,1475,645,2857,2922,805,739,4018,1415,1698,1154,1135,1652,805,2800,4475,1656,1047,2074,216,4347,97,549,373,3266
4,8544,6309,507,1274,11983,710,611,333,386,739,693,543,4707,2046,2802,11389,2303,1894,1989,505,2337,3341,7494,207,212,19219,1143,1035,1143,16957,8233,1169,646,845,1852,3639,2050,11714,895,304,3006,1771,910,359,937,491,1312,933,307,978,137,8439,108,384,17329,86,1305,17926,74,622,613,15776,1165,395,5611,270,3542,1303,3409,125,4425,4358,5897,1449,609,787,4283,1474,1846,164,3424,700,236,1909,1707,88858,9810,1544,519,762,2905,793,1202,1896,4726,832,2016,191,2090,1232,3429,850,3278,3877,573,798,968,1270,1686,872,15017,4625,577,1576,3941,907,1989,689,263,261,2938,3613,460,1258,381,1085,1338,353,1049,4932,1407,5259,930,1684,125,822,2903,789,6007,3842,3217,8086,899,3940,426,311,194,1980,1535,1282,1970,336,4243,928,969,2292,1033,1611,7300,9500,8596,3669,7781,341,699,2737,504,4463,341,1566,1128,205,1688,553,1534,2460,635,37,518,1502,1244,2084,5032,492,908,482,1374,1024,9238,571,8187,1741,39,1814,2917,637,215,890,601,673,47,1804,1397,512,30235,5727,1839,734,3642,3180,830,549,3950,1545,1563,1145,1042,1786,823,3049,4690,2105,1324,2037,252,5747,151,605,459,4381
5,9185,7620,540,1576,20081,937,1143,617,757,1420,1325,1204,5782,2617,3017,13641,2872,1948,1825,787,2692,6658,9592,221,262,22666,1858,2322,1926,17367,9087,2456,606,1577,2814,4088,2708,13336,1655,389,6520,1835,1572,606,1556,661,2377,2884,463,1339,328,12131,276,555,36353,89,3110,18742,124,750,656,27733,1533,532,10414,329,5611,1951,4771,292,4202,6155,7217,1924,858,1461,5345,1725,2010,264,5481,1018,242,3344,2844,120431,28402,2031,773,777,2266,1436,1747,2220,4265,1418,2467,158,2990,1338,5672,815,3659,6136,612,868,1083,1874,3520,1763,26084,7830,1318,2761,4145,1973,1904,927,275,681,3869,4620,717,2420,835,1293,1716,535,2902,6887,1809,9973,1355,2271,195,796,3098,1085,7868,5588,4421,9541,1098,6717,464,814,301,2765,2300,1646,3074,543,6150,1612,1217,2966,1819,1827,15994,15858,9951,5451,12974,683,997,2959,1579,7326,421,1665,2022,309,3201,616,2555,6213,1325,30,1214,2048,1921,3657,8768,638,1383,847,2861,1280,14272,1220,10763,1442,33,2299,2375,1020,285,1721,663,1600,115,2373,2192,1088,49135,5304,3052,769,5181,3601,957,697,4346,1938,1624,1605,1340,2144,1186,4338,6606,2913,2220,2528,405,10928,385,976,798,6705
6,15744,11246,808,2743,36954,2373,1557,1270,1521,3306,2665,2306,7323,3816,4500,21420,3993,3561,2258,1729,5504,15744,15070,361,520,32194,4230,5403,4018,23530,13850,5341,942,3300,5013,8701,5851,19883,4258,860,13610,2838,2930,1455,3594,1642,5676,6087,992,3342,740,21130,908,669,64827,262,6020,27058,334,1526,1458,32857,2918,1076,16337,676,9006,2994,6799,492,5551,10179,9459,3628,1980,3192,9179,2755,3543,478,12113,1929,458,4637,6558,166127,44809,3090,1890,964,3051,2814,4383,3588,5188,2533,4642,233,4620,2123,8658,1404,5802,12224,803,1351,1449,4604,6966,3363,37683,13384,3043,8031,6658,4438,2740,1869,556,1680,6889,6813,1405,5122,2290,2136,2827,1563,9172,14678,3884,15544,2637,4598,422,1585,4360,2387,11515,9316,7708,14732,1953,12501,927,2734,607,3813,4220,2783,8568,953,9626,3203,2259,5986,4179,3724,25798,28952,16534,9983,23122,1198,1822,5050,3956,10478,882,2783,4066,487,5657,1244,4305,15291,3253,46,2942,3834,6212,5907,14651,1837,3584,1898,7570,2393,21350,3004,13889,1562,85,3794,3613,1951,401,5098,1218,3441,464,4751,4159,2175,62645,7580,5999,1019,9459,5314,1504,1674,6857,3144,2589,2386,2179,2952,1835,6607,9983,5345,6314,3731,1223,18316,1029,2325,2180,13222
7,22750,13487,1298,3633,44576,5076,2562,3071,3366,6901,4777,4722,8261,5285,6164,28986,4742,5173,3521,3148,9148,19363,20783,766,1062,38857,8728,6091,5866,29939,20234,8274,1386,4534,6140,14184,12446,29009,5827,1997,16020,3704,4513,3002,7027,3705,12136,11202,2332,7137,1269,28851,3311,1244,82811,723,8805,35895,1427,2689,3326,34473,5435,2317,18201,1138,11230,4209,7488,567,6999,15114,13015,5942,2778,4123,12957,4345,5101,568,21574,3971,780,5066,9578,182996,55098,4341,4070,1849,4768,4811,5071,4581,6443,5098,6923,738,7048,3609,9550,2212,7413,17441,969,2315,2328,11035,7574,8076,40581,21145,4863,17866,10620,6767,4611,3673,1081,2606,11394,7953,2150,5577,5426,3846,4025,3529,13848,21645,6219,19415,3967,9515,1337,2670,6907,3461,13335,14238,11664,21927,3184,19991,1712,6111,1090,4334,7908,4207,13512,1613,14439,5428,3766,7693,7882,6988,28822,40362,23616,14975,34252,2728,3541,9584,6752,11824,1485,5677,5946,1090,8972,2603,6190,22322,6077,58,6268,5569,8627,8570,14515,3709,5906,4077,12460,4180,21655,6852,17167,2215,439,5208,4925,3708,833,8542,2460,6218,1547,7802,5945,3486,66364,9165,8408,1832,12425,6736,2250,1927,7600,4003,3044,3210,2584,3562,2401,8203,12082,8239,9170,5252,3289,20810,2631,4904,4483,16736
8,22548,15536,1191,3971,47021,5267,3270,3374,3710,7772,5486,7679,9586,5439,6553,30994,4823,5859,4404,3683,10334,21385,23433,1045,1270,42081,10998,5974,6033,33575,25993,8559,1476,6154,6451,15636,14155,34434,6900,2133,16098,4456,5158,3171,7605,4682,14130,11763,2568,7822,1305,30230,3965,1244,83726,844,10104,40987,1257,2782,4045,35842,5631,2348,19461,1171,11847,4754,7490,657,7631,17365,14927,7000,2727,4431,15974,5497,5744,567,23112,5027,1053,5326,9580,192620,65553,4252,4633,2480,5111,4585,6077,4964,7381,5108,8248,953,7563,3958,8896,2789,8130,18123,1159,3113,2761,11053,8252,12084,44059,24278,5902,18839,12396,7561,5654,4380,1504,2649,11660,9710,2706,6362,7477,5168,4140,3066,11672,21245,6574,22062,4898,11524,1350,2995,7468,3678,12905,14403,12465,21705,3554,21933,1962,6360,1187,4262,9512,4686,14685,1887,15882,5280,4037,8333,9316,9118,26618,41462,26170,16389,39406,3628,3290,11984,6766,12822,1768,6225,6317,1923,9575,2841,6385,23245,6537,147,7537,6051,8894,8236,14317,3982,5887,5622,11838,5315,20711,8301,19927,2551,324,6742,5185,4376,1273,8988,2778,7375,1639,11468,6588,4516,67702,10044,9272,1932,13173,7666,2586,2300,9119,4516,3687,3887,2577,3872,2675,9141,13730,10849,9532,5508,4248,21566,1881,5764,5239,19580
9,21697,16751,1351,4202,46032,3675,3593,3453,3851,7411,5510,8153,9815,5732,6361,31984,4955,5846,4114,3384,9897,20998,24193,1004,1182,42958,12102,5763,5746,35073,27803,7715,1779,6485,6449,14958,12807,35379,6525,1598,15636,3766,4672,2939,7354,5603,14390,11381,2513,7934,1833,29592,2751,1135,91099,696,10741,42619,924,2248,3701,35306,5779,2272,19827,1166,12636,4448,7366,753,7894,16235,17713,6675,3007,4660,16159,5341,6582,651,20562,4440,1046,5021,9247,189062,76956,3918,4466,2726,4904,4326,6655,5355,7899,4279,7162,848,7802,4073,8816,3163,9346,17054,1427,3093,2974,9182,8525,11491,44280,23508,5288,13734,12114,8511,7401,4215,1596,2799,10958,9845,3135,6558,6353,5563,4015,2344,11443,19663,5781,20512,5548,11113,1222,3524,7736,3946,13276,13751,11528,22485,4145,20458,1938,5897,874,3892,8853,4628,13132,1846,15117,4236,3865,8482,8770,9466,25045,40038,24735,16970,40372,3792,3193,12672,6029,13096,1693,5802,6736,1646,9437,2854,5928,23635,6823,174,6455,5708,6612,8034,13743,3520,4753,5263,10192,4709,20657,7480,18156,3123,170,7995,4946,3906,944,8593,2832,7794,1208,11825,7033,3520,70658,10194,9186,1889,13127,7950,2695,2390,9700,4967,4002,3830,2762,3856,2935,9426,15043,12911,7014,5545,2483,21851,1831,4988,5216,18990
