RoadType,RoadwayName,total
Avenue,1 AVENUE,480497
Avenue,10 AVENUE,352158
Street,103 STREET,28951
Street,108 STREET,88637
Avenue,12 AVENUE,973466
Avenue,120 AVENUE,85314
Street,126 STREET,78302
Avenue,13 AVENUE,67660
Avenue,14 AVENUE,66673
Street,164 STREET,132607
Avenue,18 AVENUE,99447
Street,188 STREET,133771
Avenue,2 AVENUE,218180
Street,21 STREET,122236
Avenue,23 AVENUE,149223
Avenue,3 AVENUE,679358
Street,31 STREET,106273
Avenue,34 AVENUE,122667
Avenue,37 AVENUE,105678
Avenue,39 AVENUE,69444
Street,39 STREET,192397
Avenue,4 AVENUE,371523
Avenue,5 AVENUE,519567
Avenue,51 AVENUE,26556
Street,58 STREET,22076
Avenue,6 AVENUE,954558
Street,60 STREET,208079
Street,65 STREET,95893
Street,69 STREET,118091
Avenue,7 AVENUE,811046
Avenue,8 AVENUE,551134
Street,80 STREET,166754
Street,82 STREET,39539
Street,9 STREET,104601
Avenue,94 AVENUE,123345
Boulevard,ADAMN C POWELL BOULEVARD,308707
Avenue,ALBANY AVENUE,254007
Avenue,AMSTERDAM AVENUE,749571
Road,ARTHUR KILL ROAD,127879
Avenue,ASTOR AVENUE,32698
Boulevard,ASTORIA BOULEVARD,282157
Avenue,AVENUE C,97691
Avenue,AVENUE D,86837
Avenue,AVENUE J,57714
Avenue,AVENUE M,135359
Avenue,AVENUE N,101364
Avenue,AVENUE P,258326
Avenue,AVENUE U,199733
Avenue,BAY RIDGE AVENUE,49661
Parkway,BAY RIDGE PARKWAY,145937
Avenue,BAYCHESTER AVENUE,40967
Avenue,BEDFORD AVENUE,617664
Boulevard,BELL BOULEVARD,52755
Avenue,BELMONT AVENUE,28004
Parkway,BELT PARKWAY,1730500
Avenue,BENSON AVENUE,16026
Road,BOSTON ROAD,230962
Expressway,BROADWAY,1019748
Avenue,BRONXWOOD AVENUE,18612
Avenue,BROOK AVENUE,47917
Avenue,BROOKLYN AVENUE,82108
Expressway,BROOKLYN QUEENS EXPRESSWAY MAIN ROAD,770500
Expressway,BROOKLYN QUEENS EXPRESSWAY SERVICE ROAD,113504
Avenue,BURKE AVENUE,50285
Avenue,BUSHWICK AVENUE,412482
Avenue,CALHOUN AVENUE,28666
Avenue,CATON AVENUE,237393
Street,CENTRE STREET,80831
Street,CHAMBERS STREET,173732
Street,CHERRY STREET,13590
